question_id,question,answer,ideal_score,tfidf_cosine_score,tfidf_score_100,tfidf_2_3_ngram_score,bm25_score,wmd_score
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.","Object-Oriented Programming (OOP) is a programming paradigm that organizes software design around objects, which combine data and behavior. Unlike procedural programming, which focuses on functions operating on data, OOP focuses on modeling real-world entities as objects. The four core principles of OOP are encapsulation, abstraction, inheritance, and polymorphism. Encapsulation ensures that an object's internal data is hidden and accessed only through well-defined interfaces. Abstraction focuses on exposing only essential features. Inheritance allows a class to derive properties and behavior from another class, and polymorphism enables different objects to respond differently to the same method call. A real-world example of encapsulation is a bank account, where balance details are hidden and accessed only through methods like deposit and withdraw. OOP may not be ideal for small, performance-critical systems such as low-level embedded software, where procedural programming can be simpler and faster.",95,0.7314547428508448,73.14547428508448,50.99545301358401,6.892004241081196,80.14243528834382
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.","Object-Oriented Programming is a way of writing programs using objects that represent real-world entities. It differs from procedural programming because procedural programming relies mainly on functions, while OOP combines data and methods together. The four principles are encapsulation, abstraction, inheritance, and polymorphism. Encapsulation hides data inside classes, inheritance allows reuse of code, abstraction hides complexity, and polymorphism allows methods to behave differently. For example, a vehicle class can be inherited by car and bike classes. OOP may not be suitable for very small programs where it adds unnecessary complexity.",85,0.3013053015494592,30.130530154945923,7.643295317981385,81.41579042188258,62.09295861343117
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.","Object-Oriented Programming is a programming style where programs are built using objects. Procedural programming focuses on step-by-step instructions, whereas OOP focuses on objects and classes. The main principles are encapsulation, inheritance, polymorphism, and abstraction. Encapsulation means keeping data safe inside objects. An example is a car class that has speed and fuel as attributes. OOP might not be a good choice when performance is the highest priority.",77,0.2428550098439452,24.285500984394524,3.187819489399444,90.1369762331565,58.80689731919032
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.","OOP is a programming method that uses classes and objects. It is different from procedural programming because procedural programming uses functions. OOP has four principles like inheritance and encapsulation. For example, a student class can inherit from a person class. OOP may not be suitable for all applications.",63,0.2178706294378002,21.78706294378003,1.721564341174214,94.51930203240993,55.05055715327926
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",Object-Oriented Programming is about using objects in programs. Procedural programming is about writing functions. OOP principles include encapsulation and inheritance. A real-world example is a car object. Sometimes OOP is not needed for simple tasks.,56,0.2383772942016153,23.837729420161534,5.129336859085383,97.03983158956125,53.73327052412811
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",OOP is a type of programming. It uses objects. Procedural programming uses steps. OOP has principles like inheritance. An example is a class. OOP is not always good.,42,0.1832805888307052,18.32805888307053,0.7143375016616821,97.89806858974428,51.121093946459574
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",Object-Oriented Programming uses objects. Procedural programming uses procedures. There are some principles in OOP. It can be used to make programs.,34,0.1525110148837556,15.251101488375562,4.138004166149615,99.22461211519574,50.73533597385467
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",OOP is programming with objects. It is different from procedural programming. It has rules. Example is car.,23,0.1805431591171444,18.05431591171444,2.179486908973698,99.18355643900044,49.7372300299803
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",OOP is a programming language concept. It has objects and classes.,13,0.1345781759990105,13.45781759990105,1.3964260069075607,99.40793059657264,48.31242959612195
Q1,"What is Object-Oriented Programming, and how does it differ from procedural programming? Explain the four core principles of Object-Oriented Programming in your answer. Furthermore, provide a real-world example that clearly shows encapsulation or inheritance, and finally, describe a scenario where Object-Oriented Programming may not be the best design choice.",I don't know Object-Oriented Programming.,0,0.0979074343230748,9.790743432307483,5.217720149494689,100.0,45.625096833621484
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.","Arrays and linked lists are fundamental data structures used to store collections of elements. An array stores elements in contiguous memory locations, which allows constant-time access using an index, but makes insertion and deletion expensive because elements may need to be shifted. A linked list, on the other hand, stores elements in non-contiguous memory locations, where each node contains data and a reference to the next node, allowing efficient insertions and deletions but slower access since traversal is required. In terms of complexity, arrays provide O(1) access but O(n) insertion and deletion in the worst case, whereas linked lists provide O(n) access but O(1) insertion and deletion when the position is known. A real-world example where linked lists are better is a music playlist, where songs are frequently added or removed without the need for shifting all elements.",96,0.727169758143053,72.7169758143053,51.21733923995348,0.0,78.03506304076673
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.","Arrays and linked lists are data structures used to store multiple values. Arrays store data in continuous memory, which makes accessing elements fast, but inserting or deleting elements costly. Linked lists store elements in separate memory locations connected using pointers, which makes insertion and deletion easier. Array access time is O(1), while linked list access time is O(n). Insertions and deletions are O(n) in arrays but O(1) in linked lists. Linked lists are useful in situations like implementing undo operations where frequent insertions and deletions are required.",87,0.4561342216977557,45.613422169775575,16.56589168662978,78.19563396001675,65.12891723263299
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.","An array is a collection of elements stored next to each other in memory, while a linked list stores elements using nodes that point to the next element. Arrays allow faster access, but linked lists allow easier insertion and deletion. In arrays, accessing elements takes constant time, but inserting elements can take linear time. In linked lists, accessing elements is slower. A linked list can be useful in applications like queues where elements are frequently added and removed.",78,0.2712465688569874,27.124656885698744,4.455848089062176,88.21225097041821,61.21355458411305
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.","Arrays and linked lists are used to store data. Arrays store elements in continuous memory, while linked lists store elements using pointers. Arrays are faster to access, and linked lists are easier to modify. For example, linked lists can be used in dynamic data storage.",64,0.410992019970468,41.099201997046805,15.312438862921232,92.3276006389814,57.4984046181252
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.","Arrays store multiple values in memory, and linked lists store values using nodes. Arrays are fast for access, and linked lists are good for insertion and deletion. Linked lists are useful when data changes often.",54,0.3467381876126025,34.67381876126026,11.493523579870931,95.40088722315258,57.368578102923706
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.",Arrays are data structures with elements stored together. Linked lists store elements separately. Arrays are fast. Linked lists are flexible.,42,0.3317419530424956,33.17419530424956,11.266587551301525,98.01199223800268,52.42337598626293
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.",Arrays and linked lists store data. Arrays are simple. Linked lists have pointers.,33,0.308372054958463,30.837205495846305,12.26064883251536,98.93560105418015,50.440626762226934
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.",Arrays store data. Linked lists also store data. They are different.,22,0.2481047920406916,24.810479204069168,7.676319744904944,99.44312389792444,50.49097254345018
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.",Arrays and linked lists are data structures.,12,0.304178360354349,30.417836035434902,12.35874949476042,99.29077353584972,49.40557606193485
Q2,"What are arrays and linked lists, and how do they differ from each other in terms of memory layout and access patterns? Compare their time and space complexities for standard operations such as insertion, deletion, and access. Also, describe a real-world situation where a linked list would be a better choice than an array.",I don't know arrays and linked lists.,0,0.2125456700230956,21.25456700230956,10.09301172971002,99.8211588500976,47.16536766835668
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.","Time complexity is a measure of how an algorithm's running time grows as the size of the input increases, and it is significant because it helps compare algorithms independent of hardware or implementation details. Big-O notation is used to express time complexity by describing the upper bound of an algorithm's growth rate. For example, linear time O(n) occurs when an algorithm processes each element once, such as iterating through an array. Logarithmic time O(log n) appears in algorithms like binary search, where the input size is halved at each step. Quadratic time O(n²) is seen in nested loops, such as simple sorting algorithms like bubble sort. Worst-case analysis is usually preferred because it provides a guarantee on performance under all conditions, making systems more reliable and predictable.",94,0.5413237206664716,54.13237206664717,23.871871186204377,45.94402437478304,72.48401096994674
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.","Time complexity explains how the execution time of an algorithm increases with input size and is important for choosing efficient solutions. Big-O notation represents this growth rate in a simplified form. An O(n) algorithm runs once for each input element, O(log n) algorithms reduce the problem size step by step like binary search, and O(n²) algorithms involve nested iterations. Worst-case analysis is considered because it shows the maximum time an algorithm may take, which is important for performance-critical applications.",86,0.3035451427857032,30.354514278570328,5.063327927107008,82.09467875660017,65.96617925077055
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.","Time complexity measures how fast or slow an algorithm is depending on the input size. Big-O notation is used to represent time complexity. Linear time means the algorithm runs once per element, logarithmic time reduces the input size repeatedly, and quadratic time involves nested loops. Worst-case analysis is used because it shows the maximum time required by an algorithm",77,0.3639671539017249,36.39671539017249,9.374781618629568,90.22805829362078,61.32269401438284
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.","Time complexity tells us how much time an algorithm takes. Big-O notation is used to describe it. O(n) means linear time, O(log n) is faster, and O(n²) is slower. Worst-case analysis helps understand the slowest performance.",65,0.2424683610073821,24.24683610073821,5.485333481524701,96.24590876634772,55.778015952148095
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.",Time complexity is about algorithm speed. Big-O notation shows how fast an algorithm runs. Examples include O(n) and O(n²). Worst-case analysis is used to check performance.,54,0.1787840740403418,17.878407404034185,4.29973057662996,97.95805853746508,53.21401010414706
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.",Time complexity shows how long an algorithm takes. Big-O notation explains it. Some algorithms are faster than others,45,0.1766595989303265,17.665959893032653,2.2954404086202578,99.1691720952661,52.72431973279078
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.",Time complexity is related to algorithms. Big-O is used to represent it.,32,0.151241714533101,15.124171453310105,1.4993697940761843,99.71997170737104,50.85079634239564
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.",Time complexity tells about speed. Big-O is notation.,22,0.1553121566979564,15.531215669795642,3.441669631477559,99.77782898456624,48.34766832505928
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.",Time complexity is about time.,11,0.2615002501431746,26.150025014317457,3.0698759438268297,99.86226876624848,47.372895311770755
Q3,"What is time complexity, and why is it significant in algorithm design? Describe Big-O notation and its role in indicating algorithm efficiency. Illustrate linear time, logarithmic time, and quadratic time complexities with simple examples and state the reasons for which worst-case analysis is usually considered when evaluating algorithms.",I don't know time complexity.,0,0.1304738794698162,13.047387946981624,2.289418288252508,99.9846996418141,46.17939693423601
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.","Compiled programming languages translate the entire source code into machine code before execution, producing an executable file that can run directly on the system. Interpreted languages execute code line by line at runtime using an interpreter. For example, C and C++ are compiled languages where the compiler converts source code into an executable, while Python and JavaScript are interpreted languages that rely on an interpreter. Just-In-Time compilation, used in languages like Java, combines both approaches by compiling frequently used code segments at runtime to improve performance. Interpreted languages are not always slower than compiled ones because modern interpreters and JIT compilers apply optimizations that can significantly improve execution speed.",97,0.7343217900840927,73.43217900840926,46.28593503562092,43.68189283383284,74.11222742455848
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.","Compiled languages convert source code into machine code before execution, while interpreted languages run code line by line. Examples of compiled languages include C and Go, while Python and JavaScript are interpreted. JIT compilation improves performance by compiling code during execution. Interpreted languages are not always slower because runtime optimizations and JIT can make them efficient.",85,0.5039595636492713,50.39595636492713,18.09073078443848,83.33342173917285,66.31370785312683
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.","Compiled languages generate machine code before running, whereas interpreted languages execute code during runtime. C is an example of a compiled language and Python is an interpreted language. JIT compilation helps improve speed by compiling code when needed. Interpreted languages may be slower, but optimizations reduce the difference.",76,0.368934216572148,36.8934216572148,8.142212304137535,94.78098132511576,59.28109912982292
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.","Compiled languages run faster because they are converted to machine code first, while interpreted languages run line by line. Examples include C for compiled and Python for interpreted. JIT compilation improves performance. Interpreted languages are sometimes slower.",65,0.3581087400312979,35.8108740031298,8.371155648091436,93.76199829872746,58.31044078435844
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.",Compiled languages are converted before execution. Interpreted languages are executed while running. Examples include C and Python. JIT helps improve speed.,53,0.2342270491640395,23.422704916403955,3.930026073115336,97.27523123251316,54.211137319036894
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.",Compiled languages use a compiler. Interpreted languages use an interpreter. Some languages use JIT.,42,0.1910205108308,19.102051083080003,3.0313740526421205,99.2862333797004,50.648198624398496
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.",Compiled languages are faster. Interpreted languages are slower.,31,0.3206849341135731,32.06849341135731,9.38524453261872,99.49632365073792,49.843876573388584
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.",Compiled and interpreted languages are different types.,22,0.2115273281663032,21.152732816630323,3.8732755249997126,99.50297366202932,49.557546379200105
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.",Programming languages can be compiled or interpreted.,12,0.2624403907155631,26.24403907155631,2.310813937317651,99.7290208217919,49.602885302732844
Q4,"What separates compiled programming languages from interpreted ones? Illustrate with examples how a program's source code is converted and run in both scenarios. Give a few examples of languages from both categories, indicate the position of Just-In-Time (JIT) compilation in this classification, and finally comment on whether interpreted languages are perpetually slower than compiled ones and why.",I don't know the difference between compiled and interpreted languages.,0,0.1866233055523166,18.66233055523166,3.3874636718560995,99.84723644616268,49.076586008420186
Q5,"An operating system process is a program in execution, and it differs from a thread in that a thread is the smallest sequence of programmed instructions that can be managed independently by a scheduler. Describe context switching and its necessity. Elaborate on the differences in memory sharing between processes and threads and provide an instance where the use of multithreading can dramatically enhance the performance of an application.","A process is an independent program in execution with its own memory space, while a thread is a lightweight unit of execution that exists within a process and shares its memory. Context switching is the mechanism by which the operating system saves the state of a running process or thread and restores the state of another so that multiple tasks can share the CPU efficiently. It is necessary to enable multitasking and responsive systems. Processes do not share memory by default, which makes them safer but heavier, whereas threads share the same memory space, making communication faster but requiring careful synchronization. Multithreading can significantly improve performance in applications like web servers, where multiple client requests can be handled concurrently.",94,0.5689700866920255,56.89700866920256,28.84642826216701,34.67112175774276,76.12497233752339
Q5,"An operating system process is a program in execution, and it differs from a thread in that a thread is the smallest sequence of programmed instructions that can be managed independently by a scheduler. Describe context switching and its necessity. Elaborate on the differences in memory sharing between processes and threads and provide an instance where the use of multithreading can dramatically enhance the performance of an application.","A process is a running program with its own resources, while a thread is a smaller execution unit inside a process that shares memory with other threads. Context switching allows the CPU to switch between processes or threads so that multiple tasks appear to run at the same time. Processes have separate memory spaces, but threads share memory, which makes threads faster to communicate. Multithreading improves performance in applications such as file download managers that perform multiple downloads simultaneously.",87,0.309101027372909,30.910102737290902,10.27966885321513,79.02599898757798,64.22207070931721
Q5,"An operating system process is a program in execution, and it differs from a thread in that a thread is the smallest sequence of programmed instructions that can be managed independently by a scheduler. Describe context switching and its necessity. Elaborate on the differences in memory sharing between processes and threads and provide an instance where the use of multithreading can dramatically enhance the performance of an application.","Processes and threads are both execution units, but processes are heavier and have separate memory, while threads share memory within a process. Context switching helps the operating system run multiple tasks by switching between them. Threads share memory, so they are faster than processes. Multithreading is useful in applications like video streaming or games.",76,0.2901981144594084,29.01981144594085,6.496808199044655,92.45540307820484,59.504436200225186
Q5,"An operating system process is a program in execution, and it differs from a thread in that a thread is the smallest sequence of programmed instructions that can be managed independently by a scheduler. Describe context switching and its necessity. Elaborate on the differences in memory sharing between processes and threads and provide an instance where the use of multithreading can dramatically enhance the performance of an application.","A process is a program in execution, and a thread runs inside a process. Context switching is switching between tasks. Processes have separate memory, and threads share memory. Multithreading helps applications run faster.",66,0.275220827992963,27.5220827992963,5.729908803835448,95.9372078015944,55.42088795789824
Q5,"An operating system process is a program in execution, and it differs from a thread in that a thread is the smallest sequence of programmed instructions that can be managed independently by a scheduler. Describe context switching and its necessity. Elaborate on the differences in memory sharing between processes and threads and provide an instance where the use of multithreading can dramatically enhance the performance of an application.",Processes and threads are used to run programs. Threads are smaller than processes. Context switching allows switching between them. Threads share memory. Multithreading can improve performance.,58,0.194520571921502,19.452057192150207,4.509699798502374,99.34831991266088,51.51159182264307
